Timestamp,Signal_Name,Bit_Len,Bit_Name1,Bit_Name2,Bit_Name3,Bit_Name4,Bit_Name5,Bit_Name6,Bit_Name7,Bit_Name8
0.179942,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.180242,CAN_S15,8,00,00,00,00,00,00,00,00
0.180542,CAN_S16,8,00,00,00,00,00,00,00,00
0.181612,CAN_S97,8,91,2A,00,60,FE,00,00,00
0.183303,CAN_S40,8,B6,81,09,00,00,00,00,00
0.183531,CAN_S5,8,C8,DD,9F,78,FD,F5,37,1E
0.183779,CAN_S4,8,00,00,00,00,F0,03,00,00
0.184083,CAN_S7,8,00,00,00,00,00,00,00,00
0.184326,CAN_S41,8,80,00,00,00,01,05,01,0E
0.185146,CAN_S8,8,9C,E2,3F,80,00,00,00,00
0.185384,CAN_S9,8,66,72,7F,00,82,00,40,00
0.185624,CAN_S10,8,5E,82,65,00,00,00,C3,00
0.186957,CAN_S44,8,00,00,38,00,00,01,00,00
0.189043,CAN_S98,8,10,00,00,50,86,78,00,58
0.189443,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.189747,CAN_S13,8,00,00,00,00,FF,00,00,00
0.189992,CAN_S36,8,12,1D,00,00,01,00,00,00
0.190272,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.190572,CAN_S15,8,00,00,00,00,00,00,00,00
0.190872,CAN_S16,8,00,00,00,00,00,00,00,00
0.191543,CAN_S77,4,EC,04,00,00,Length,=,161973,BitCount
0.191797,CAN_S99,8,40,00,20,00,00,3C,00,00
0.192219,CAN_S100,8,10,22,04,00,00,00,00,00
0.193375,CAN_S5,8,43,DE,9F,78,FD,F5,37,1E
0.193625,CAN_S24,8,00,00,FE,00,00,00,00,00
0.194022,CAN_S78,8,8A,0E,00,00,E0,8F,03,00
0.194264,CAN_S79,8,E4,00,00,4C,00,00,07,00
0.194514,CAN_S48,8,01,7F,00,00,00,00,00,00
0.194758,CAN_S80,8,BC,7E,00,00,FC,77,00,3F
0.198813,CAN_S30,8,EC,08,00,00,30,8C,7E,FE
0.199353,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.199595,CAN_S32,8,7F,0F,80,12,00,00,00,00
0.199893,CAN_S13,8,00,00,00,00,FF,00,00,00
0.200294,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.200594,CAN_S15,8,00,00,00,00,00,00,00,00
0.200894,CAN_S16,8,00,00,00,00,00,00,00,00
0.201628,CAN_S81,8,00,00,00,00,00,00,00,00
0.202157,CAN_S1,8,10,0E,00,00,08,00,00,00
0.202471,CAN_S94,5,44,51,0C,18,11,Length,=,211988
0.203417,CAN_S5,8,9D,DF,9F,78,FD,F5,37,1E
0.203665,CAN_S4,8,00,00,00,00,F0,03,00,00
0.203907,CAN_S6,8,EE,EA,3F,00,00,00,00,00
0.204156,CAN_S7,8,00,00,00,00,00,00,00,00
0.205162,CAN_S8,8,E9,E3,3F,80,00,00,00,00
0.205406,CAN_S9,8,02,73,7F,00,82,00,40,00
0.205645,CAN_S10,8,3A,83,65,00,00,00,C3,00
0.208623,CAN_S11,4,02,00,40,00,Length,=,165973,BitCount
0.209389,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.209693,CAN_S13,8,00,00,00,00,FF,00,00,00
0.209979,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.21028,CAN_S15,8,00,00,00,00,00,00,00,00
0.21058,CAN_S16,8,00,00,00,00,00,00,00,00
0.21086,CAN_S17,8,29,EA,7B,4C,F5,E4,28,00
0.211154,CAN_S18,8,01,C0,58,00,00,00,00,00
0.211507,CAN_S19,8,01,00,00,00,00,DD,93,F4
0.211793,CAN_S21,8,62,C1,4C,65,00,00,00,00
0.213377,CAN_S5,8,54,D0,9F,78,FD,F5,37,1E
0.213627,CAN_S24,8,00,00,FE,00,00,00,00,00
0.213878,CAN_S25,8,00,00,00,00,00,00,00,FF
0.214114,CAN_S26,8,42,EB,BF,FF,00,14,00,00
0.215136,CAN_S27,8,91,0B,00,00,00,00,00,7E
0.217859,CAN_S29,8,69,08,00,44,40,02,00,00
0.218873,CAN_S30,8,13,09,00,00,30,8C,7E,FE
0.219353,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.219657,CAN_S13,8,00,00,00,00,FF,00,00,00
0.2199,CAN_S33,8,00,3F,2B,00,00,24,00,07
0.22018,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.22048,CAN_S15,8,00,00,00,00,00,00,00,00
0.22078,CAN_S16,8,00,00,00,00,00,00,00,00
0.22163,CAN_S34,8,00,00,00,00,00,00,00,00
0.223351,CAN_S5,8,DC,D1,9F,78,FD,F5,37,1E
0.223599,CAN_S4,8,00,00,00,00,F0,03,00,00
0.224049,CAN_S7,8,00,00,00,00,00,00,00,00
0.225204,CAN_S8,8,7F,E4,3F,80,00,00,00,00
0.225444,CAN_S9,8,11,74,7F,00,82,00,40,00
0.22568,CAN_S10,8,29,84,65,00,00,00,C3,00
0.229144,CAN_S32,8,F4,00,80,12,00,00,00,00
0.229428,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.229733,CAN_S13,8,00,00,00,00,FF,00,00,00
0.230023,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.230323,CAN_S15,8,00,00,00,00,00,00,00,00
0.230623,CAN_S16,8,00,00,00,00,00,00,00,00
0.23086,CAN_S38,8,14,0D,40,02,FE,7F,7F,0C
0.231656,CAN_S39,8,00,00,00,C1,80,00,00,00
0.233228,CAN_S40,8,29,82,09,00,00,00,00,00
0.233458,CAN_S5,8,A8,D2,9F,78,FD,F5,37,1E
0.233784,CAN_S24,8,00,00,FE,00,00,00,00,00
0.234053,CAN_S41,8,80,00,00,00,01,05,01,0E
0.234515,CAN_S42,8,96,28,E3,01,4A,C2,0C,40
0.235507,CAN_S43,8,16,00,00,00,00,00,00,00
0.236949,CAN_S75,8,00,00,00,00,00,00,00,00
0.238832,CAN_S30,8,76,0A,00,00,30,8C,7E,FE
0.239366,CAN_S12,8,6B,4F,00,82,01,03,00,00
0.239684,CAN_S13,8,00,00,00,00,FF,00,00,00
0.23997,CAN_S14,8,CD,42,00,00,86,4F,00,00
0.240209,CAN_S101,8,00,64,53,5F,7D,60,FA,01
0.240503,CAN_S15,8,00,00,00,00,00,00,00,00
0.240751,CAN_S45,8,00,00,00,28,00,00,00,00
0.241045,CAN_S16,8,00,00,00,00,00,00,00,00
0.241339,CAN_S46,8,0E,00,04,01,02,08,00,00
0.241656,CAN_S47,8,00,00,00,78,80,00,00,00
0.243546,CAN_S5,8,29,D3,9F,78,FD,F5,37,1E
0.24381,CAN_S4,8,00,00,00,00,F0,03,00,00
0.24409,CAN_S7,8,00,00,00,00,00,00,00,00
0.244341,CAN_S48,8,01,7F,00,00,00,00,00,00
0.245217,CAN_S8,8,E5,E5,3F,80,00,00,00,00
0.245459,CAN_S9,8,75,75,7F,00,82,00,40,00
